timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636453371969,13,Medium binary download 2,200,OK,Realistic WL 20 static types 1-11,text,true,,148755,134,50,50,http://192.168.1.80:5000/volume/145.bin,9,0,1
1636453372004,34,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-13,text,true,,159,148927,50,50,http://192.168.1.80:5000/upload,34,0,3
1636453372015,23,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-14,text,true,,159,148921,50,50,http://192.168.1.80:5000/upload,23,0,2
1636453372061,3,Medium binary download 4,200,OK,Realistic WL 20 static types 1-16,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,2,0,0
1636453372081,12,Medium text download 5,200,OK,Realistic WL 20 static types 1-17,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,9,0,2
1636453372100,7,Medium binary download 3,200,OK,Realistic WL 20 static types 1-18,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,5,0,1
1636453372120,12,Medium binary upload 3,200,OK,Realistic WL 20 static types 1-19,text,true,,159,154062,50,50,http://192.168.1.80:5000/upload,11,0,1
1636453372195,26,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-23,text,true,,159,148939,50,50,http://192.168.1.80:5000/upload,26,0,2
1636453372235,14,Medium text download 3,200,OK,Realistic WL 20 static types 1-25,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,11,0,2
1636453372337,32,Medium text upload 2,200,OK,Realistic WL 20 static types 1-40,text,true,,159,148928,50,50,http://192.168.1.80:5000/upload,32,0,2
1636453372324,45,Medium binary upload 2,200,OK,Realistic WL 20 static types 1-29,text,true,,159,148939,50,50,http://192.168.1.80:5000/upload,45,0,3
