procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0   4352 1119592 984124 2957412    0    0     0   912 3248 3682 11  4 84  0  0 2021-11-09 10:24:55
 0  0   4352 1119308 984124 2957928    0    0     0   308 1717 1690  6  4 90  0  0 2021-11-09 10:24:56
 0  0   4352 1119056 984132 2957932    0    0     0  1388 4073 5018 11  6 82  1  0 2021-11-09 10:24:57
 0  0   4352 1119088 984132 2957416    0    0     0  1220 2647 3123  9  4 87  0  0 2021-11-09 10:24:58
 0  0   4352 1118584 984140 2958524    0    0     0   352 2788 3031  5  4 91  0  0 2021-11-09 10:24:59
 0  0   4352 1118300 984140 2958516    0    0     0   600 2389 2461  8  4 88  0  0 2021-11-09 10:25:00
 0  0   4352 1118804 984140 2957364    0    0     0   472 2881 3105  6  4 90  0  0 2021-11-09 10:25:01
 0  0   4352 1118560 984148 2957936    0    0     0  1380 2980 3551  9  6 84  1  0 2021-11-09 10:25:02
 2  0   4352 1118560 984148 2957412    0    0     0   800 2876 3681  8  5 87  0  0 2021-11-09 10:25:03
 1  0   4352 1117520 984156 2958448    0    0     0   332 1696 1796  5  4 92  0  0 2021-11-09 10:25:04
 0  0   4352 1117552 984156 2958388    0    0     0   312 3386 3833  8  6 86  0  0 2021-11-09 10:25:05
 1  0   4352 1118244 984156 2957876    0    0     0   140 1600 1713  5  3 92  0  0 2021-11-09 10:25:06
 1  0   4352 1118352 984164 2957988    0    0     0  1108 3803 4687 11  7 81  1  0 2021-11-09 10:25:07
 0  0   4352 1118408 984164 2957468    0    0     0  1104 2671 3176  9  4 86  0  0 2021-11-09 10:25:08
 0  0   4352 1118344 984172 2957400    0    0     0   512 2593 3038  5  4 91  0  0 2021-11-09 10:25:09
 0  0   4352 1118312 984172 2957396    0    0     0   920 2540 2532  7  5 88  0  0 2021-11-09 10:25:10
 0  0   4352 1118028 984172 2957404    0    0     0   312 1828 1854  5  4 91  0  0 2021-11-09 10:25:11
